1,Automation science pack,5.0,1,1,0
2,Copper plate,3.2,1,3,0
3,Iron gear wheel,1.0,1,1,0
4,Iron plate,3.2,1,3,0
5,Iron ore,1.0,1,4,0
6,Copper ore,1.0,1,4,0
7,Logistic science pack,6.0,1,1,0
8,Transport belt,0.5,2,1,0
9,Inserter,0.5,1,1,0
10,Electronic circuit,0.5,1,1,0
11,Copper cable,0.5,2,1,0
12,Military science pack,10.0,2,1,0
13,Wall,0.5,1,1,0
14,Grenade,8.0,1,1,0
15,Piercing rounds magazine,3.0,1,1,0
16,Stone brick,3.2,1,3,0
17,Stone,1.0,1,4,0
18,Coal,1.0,1,4,0
19,Firearm magazine,1.0,1,1,0
20,Steel plate,16.0,1,3,0
21,Chemical science pack,24.0,2,1,0
22,Advanced circuit,6.0,1,1,0
23,Engine unit,10.0,1,1,0
24,Sulfur,1.0,2,2,0
25,Plastic bar,1.0,2,2,0
26,Petroleum gas,1.0,1,5,0
27,Pipe,0.5,1,1,0
28,Production science pack,21.0,3,1,0
29,Electric furnace,5.0,1,1,0
30,Productivity module,15.0,1,1,0
31,Rail,0.5,2,1,0
32,Iron stick,0.5,2,1,0
33,Utility science pack,21.0,3,1,0
34,Processing unit,10.0,1,1,0
35,Flying robot frame,20.0,1,1,0
36,Low density structure,20.0,1,1,0
37,Sulfuric acid,1.0,50,2,0
38,Battery,4.0,1,2,0
39,Electric engine unit,10.0,1,1,0
40,Lubricant,1.0,10,2,0
41,Heavy oil,1.0,1,5,0
42,Light oil,1.0,1,5,0
43,Crude oil,1.0,10,9,0
44,Water,1.0,1200,8,0
45,Steam,1.0,1,6,0
46,Rocket part,3.0,1,1,1
47,Rocket control unit,30.0,1,1,0
48,Rocket fuel,30.0,1,1,0
49,Speed module,15.0,1,1,0
50,Solid fuel,2.0,1,2,0
51,Satellite,5.0,1,1,1
52,Accumulator,10.0,1,1,0
53,Radar,0.5,1,1,0
54,Solar panel,10.0,1,1,0
55,Space science pack,40.3,1000,7,1
56,Fast transport belt,0.5,1,1,0
57,Express transport belt,0.5,1,1,0
